Vivado Simulator 2018.3
Time resolution is 1 ps
Starting synchronization test for all baud rates...
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
Baud rate 1: Synchronization SUCCESS
Baud rate 2: Synchronization SUCCESS
Baud rate 3: Synchronization SUCCESS
Baud rate 4: Synchronization SUCCESS
Baud rate 5: Synchronization SUCCESS
Baud rate 6: Synchronization SUCCESS
Baud rate 7: Synchronization SUCCESS
Baud rate 0: Synchronization SUCCESS
